text_ tokens,hashtags,tweet_id,present_media,present_links,present_domains,tweet_type,language,tweet_timestamp,engaged_with_user_id,engaged_with_user_follower_count,engaged_with_user_following_count,engaged_with_user_is_verified,engaged_with_user_account_creation,enaging_user_id,enaging_user_follower_count,enaging_user_following_count,enaging_user_is_verified,enaging_user_account_creation,engagee_follows_engager
"[101, 2621, 5618, 2452, 8133, 10497, 50508, 13894, 111756, 119, 108, 127, 1894, 2042, 29004, 1895, 3719, 6457, 1946, 1890, 5086, 7204, 3431, 7972, 10060, 13497, 89304, 12396, 11733, 10061, 1891, 1894, 123, 11274, 35066, 119, 1895, 119, 14120, 131, 120, 120, 188, 119, 11170, 120, 180, 10884, 10162, 15774, 11273, 11127, 13966, 14703, 14703, 102]",[''],2429D439F4ECC528BB5B344E3B493A9F,[''],['1685F3F6A089D1755A56688A362316CF'],['E91CDEC8DC7ABF30592FA024616FF970'],TopLevel,22C448FF81263D4BAF2A176145EE9EAD,1581077720,73ABAB078360586A8593A101292B1DBD,769176,190,false,1261146513,000006829BEADA9EEA695CF0C334B426,2,29,false,1568107028,false
"[101, 100, 103324, 10165, 29097, 10196, 34935, 55469, 97257, 11904, 13137, 100, 119, 119, 125, 119, 126, 29534, 10104, 33396, 26932, 13142, 10121, 11420, 10448, 11376, 173, 11558, 10114, 10812, 11573, 15573, 119, 119, 119, 119, 102]",[''],700888A7FB1E6E3E5ACEBD0EAEE6C4F5,[''],[''],[''],Quote,ECED8A16BE2A5E8871FD55F4842F16B1,1580996434,1DFDEDB0536B1010C40F3692A3D36BFB,1095984,458,true,1252804756,00000860E80C67D8C46CE57C64DE9444,220,182,false,1541013180,false
"[101, 56898, 137, 48201, 11033, 12680, 17025, 168, 131, 46912, 12680, 14120, 131, 120, 120, 188, 119, 11170, 120, 141, 11211, 12396, 15417, 11090, 10929, 11537, 10929, 10686, 11281, 102]",[''],7B89BCDC40DE393342562A5D569AA2CA,['Video'],[''],[''],Retweet,D3164C7FBCF2565DDF915B1B3AEFB1DC,1581356394,DA0AC09C87A3E0C89AFD5469C0957996,369,369,false,1412293753,00000860E80C67D8C46CE57C64DE9444,225,185,false,1541013180,true
"[101, 56898, 137, 63034, 48349, 10133, 131, 1985, 74381, 29100, 18872, 11377, 4449, 4333, 1923, 27058, 16923, 1882, 1892, 1890, 9004, 26212, 8932, 14423, 2029, 54083, 111816, 31656, 111822, 1891, 2053, 33499, 111830, 48566, 4784, 1893, 108, 9004, 26212, 12310, 14423, 108, 52734, 38025, 35976, 56082, 10237, 11127, 14703, 10858, 10245, 11274, 11733, 11733, 119, 14120, 131, 120, 120, 188, 119, 11170, 120, 10576, 14892, 11733, 11396, 10123, 14703, 10874, 10237, 102]","['D57466EA5DC320E62F832EAC1414753F', '9050E1FCB5DC1ADECAFC78C5496EEE8C']",75FB4F13DBF5E8CD3684AB9E50BC68F6,[''],['80B1462FBE39FD7BE75AE6221BAED757'],['F882F0A8ED78FD10AB2FF81B04962856'],Retweet,22C448FF81263D4BAF2A176145EE9EAD,1581389221,8F1285EE27590613E33882C2F2B720CC,163,184,false,1566961327,00000E0C9B364891CDE89ECFC54771DE,780,440,false,1432084055,true
"[101, 2226, 3116, 7697, 20832, 111827, 53095, 10634, 37115, 8244, 20019, 6006, 1882, 119, 2187, 4348, 1947, 3460, 1923, 4437, 14813, 15221, 53106, 1882, 119, 119, 2053, 33499, 111830, 11668, 11588, 7533, 1913, 20058, 82904, 10083, 14120, 131, 120, 120, 188, 119, 11170, 120, 71275, 11373, 10133, 12022, 10115, 11733, 12715, 12022, 102]",[''],806AF94F6494371C1A57434CAFDEC46C,['Video'],[''],[''],TopLevel,22C448FF81263D4BAF2A176145EE9EAD,1581037985,4054EC04B95041AFAE7746303D164E95,1050,99,false,1320718258,00000E0C9B364891CDE89ECFC54771DE,780,440,false,1432084055,true
"[101, 56898, 137, 31156, 11281, 60020, 29194, 131, 20536, 100, 142, 118, 64060, 17013, 20083, 52341, 11787, 10106, 14204, 10135, 10105, 108755, 11259, 108122, 10162, 14120, 131, 120, 120, 188, 119, 11170, 120, 122, 11273, 11274, 10123, 11127, 10174, 80539, 11274, 11090, 102]",[''],C7E8C21A43BF73AF4FEC1A5AEA34E44A,['Video'],[''],[''],Retweet,D3164C7FBCF2565DDF915B1B3AEFB1DC,1581060784,1EF96C20BB36B029D0B3F6948D802B7C,163,250,false,1423709049,00000E984CE5071B4B2A3F58266FB69E,253,183,false,1381687570,true
"[101, 56898, 137, 161, 10759, 168, 24920, 131, 13521, 12824, 10462, 131, 119, 119, 108, 11580, 137, 192, 10759, 20584, 38016, 10161, 20305, 10759, 164, 71033, 166, 119, 119, 164, 23734, 131, 108, 123, 196, 25227, 10107, 131, 10208, 166, 119, 119, 137, 192, 10759, 60503, 56186, 108, 161, 10759, 108, 9547, 12605, 14279, 102]","['D8788CF06B4D91C8A6CED6296546409D', '49A1E0B17ED69FDB02A736B85F953BFD']",809C4429056519E4884B57C23391F354,[''],[''],[''],Retweet,D3164C7FBCF2565DDF915B1B3AEFB1DC,1581209689,3800687CF413F0D3437964E46917E691,562,568,false,1497201827,000012D4971A83624EF9C6711AE5167D,929,928,false,1577292324,true
"[101, 56898, 137, 101833, 18529, 40230, 131, 14535, 10531, 10124, 22024, 137, 95278, 42507, 10419, 31237, 16938, 112, 188, 13028, 111, 10392, 10410, 132, 10105, 137, 15824, 84302, 89525, 51079, 14499, 20442, 17920, 10940, 20442, 42213, 10124, 11850, 10777, 117, 10259, 14943, 11424, 10112, 100, 102]",[''],16749F6DA6ADE608771BA912C33414EE,[''],[''],[''],Retweet,D3164C7FBCF2565DDF915B1B3AEFB1DC,1581011053,02DB4C310C3D958C0255732D13854A2C,4005,4151,true,1261668780,00001B2BEF16B99227942518CE7FD918,68,269,false,1519663743,false
"[101, 56898, 137, 74011, 40825, 168, 95205, 131, 23676, 120, 73213, 10435, 13028, 109544, 59879, 34065, 109544, 11733, 24093, 10731, 119, 74011, 10105, 11940, 10111, 84874, 10271, 119, 106482, 13998, 10107, 108, 47855, 38850, 14703, 11565, 42622, 59879, 34065, 86448, 95825, 11273, 25441, 10114, 137, 15895, 11195, 10418, 11305, 11305, 14946, 77586, 100, 102]",['F3F706E6B70741F6E096D935787440E5'],5CFCB873B8053FCF2FF5B880DD35E83D,[''],[''],[''],Retweet,D3164C7FBCF2565DDF915B1B3AEFB1DC,1581101211,A54D0597E0F42FBF5750A99015379BF2,1616,3490,false,1399324750,00001BF187AF00752913784A0A977828,96,203,false,1383292460,true
"[101, 56898, 137, 123, 11090, 10263, 10731, 16107, 15587, 131, 138, 43610, 10114, 15329, 12014, 11816, 10114, 20442, 11365, 119, 119, 119, 56570, 21476, 14120, 131, 120, 120, 188, 119, 11170, 120, 30665, 12022, 10418, 11447, 10129, 14703, 11747, 11281, 119, 119, 108, 11019, 56082, 35931, 11949, 108, 55706, 10253, 10477, 108, 29963, 13264, 25588, 41196, 24558, 100, 102]","['AB4CD186705A9F17F39B6215B88DC807', '382293189BC13D9EA830400CA98785D9', 'A767AFA9217A34A014E1A99405DCAFC1']",D5354E3371EECEFE47AA1E68111779D5,[''],['1CC979D9707FDD3C6AC10A64FF935E25'],['3896E26D12C903F0A00B6B1BE9A9BEA3'],Retweet,D3164C7FBCF2565DDF915B1B3AEFB1DC,1581526897,5D1CE114280CED982928DB92212D5205,3192,4385,false,1305040187,00001BF187AF00752913784A0A977828,99,206,false,1383292460,true
